375	40.1	A coalition of eight states announced plans Thursday to boost the use of electric cars and other zero emission vehicles promising incentives and an improved network of fueling stations to encourage consumers to buy the vehicles and prompt manufacturers to produce more of them	1
375	40.2	 The eight governors who signed the agreement including Maryland Gov Martin OMalley D hope to put at least 33 million zero emission vehicles on their roads by 2025 To accomplish that they pledged to install more electric charging stations introduce or continue tax breaks for consumers and add such vehicles to government fleets	1
375	40.3	In addition to allelectric cars the group wans to encourage production and purchase of fuel cell vehicles which run on hydrogen	1
375	40.4	Fossil fuels burned to power cars trucks ships trains and planes were responsible for 28 percent of US greenhouse gas emissions in 2011 according to the Environmental Protection Agency	1
375	40.5	Maryland wants to put 60000 zero emission vehicles on its roads by 2020	1
375	40.6	In addition to the 7500 federal tax credit available to buyers of such vehicles the state offers a 1000 excise tax credit a 400 tax credit for any equipment purchased and access to HOV lanes she said	1
375	39.1	This years lineup includes one of the most diverse displays of green technology including batterypowered electric engines hybrids clean diesel and hydrogenfueled cars said Washington Auto Show chair Kevin Reilly	1
375	39.2	The car companies hope to highlight cleantech alternatives to plugin electric vehicles	1
375	39.3	i came to the show to feature its Tucson Fuel Cell crossoverutility vehicle expected to reach the market at a few Hyundai dealers in Southern California this spring The model takes less than 10 minutes to charge at special fueling stations and can travel about 300 miles per charge	1
375	39.4	Energy Secretary Ernest Moniz announced that the Energy Department would commit about 50 million to accelerating development of new transportation technologies especially in costeffective batteries advanced heating and improved fuels among other innovations	1
375	39.5	the American auto industry is on the rise experiencing the best period of growth in more than a decade	1
375	39.6	Toyota is showing off its own hydrogen fuelcell concept car which it unveiled in the United States at the Consumer Electronics Show in Las Vegas earlier this month	1
375	37.1	Physicist and futurist Michio Kaku was on hand to introduce the companys new fuel cell which he said has a range of 300 miles and can refuel inthreeto fiveminutes	1
375	37.2	We are entering the age of hydrogen Kaku said We are present at the creation of a hydrogen society	1
375	37.3	Mirais fuel cell can power a house for a week in case of an emergency	1
375	37.4	The car company says it will alsobuild and fund the production of fueling stations saying that it will first focus on creating that infrastructure in California and in the New York and New Jersey areas	1
375	36.1	st thing you notice about Toyotas hydrogen fuel cell SUV is that you hardly feel like youre driving	1
375	36.2	 Its more like youre floatingWhen the engine kicks in you dont get the jolt that you do with a car that runs on gasoline Its not even like a typical hybrid which starts you off on battery power before handing you off to the fossilfuel engine	1
375	36.3	the converted Highlander I drove to my dentist Friday morning was a hybrid of a different kind A nickelmetal hydride battery still got the car moving from a standstill but where an ordinary engine would sit under the hood burning up dead dinosaurs was an electric motor hooked up to four tanks holding 5 kilos of hydrogen gas	1
375	36.4	the fuel isnt burned Its passed through a membrane that turns the hydrogen gas into water  a process that draws on outside air to create electricity for the engine	1
375	36.5	Hyundai has plans to introduce a commercial fuel cell vehicle as early as this year and Toyota will debut its hydrogenpowered car in 2015	1
375	36.6	ull tank the Highlander has a range of 300 or 400 miles according to Chris Santucci the Toyota engineer sitting in the passenger seat beside me Filling up takes about five minutes  not much longer than your typical vehicle  but you can go much farther than even todays best hybrids	1
375	36.7	California has been the most active in building hydrogen stations	1
375	36.8	The rise of hydrogen vehicles like Toyotas new Highlander  whose price has not been announced  is also taking place at a time when Americans appetite for driving is on the wane	1
