375	40	375.1	Fossil fuels burned to power cars trucks ships trains and planes were responsible for 28 percent of US greenhouse gas emissions in 2011
375	40	375.2	promising incentives and an improved network of fueling stations to encourage consumers to buy the vehicles and prompt manufacturers to produce more of them
375	39	375.3	The car companies hope to highlight cleantech alternatives to plugin electric vehicles
375	37	375.4	Mirais fuel cell can power a house for a week in case of an emergency
375	37	375.5	The car company says it will alsobuild and fund the production of fueling stations
375	36	375.6	A nickelmetal hydride battery still got the car moving from a standstill but where an ordinary engine would sit under the hood burning up dead dinosaurs
375	32	375.7	for all purposes to solve energy security job creation air pollution and climate problems
375	29	375.8	carmakers to convince policymakers
375	26	375.9	government support
375	23	375.10	limitations that have held back the market for batterypowered and other alternative fuel vehicles
375	23	375.11	new techniques developed to extract hydrogen from natural gas
375	20	375.12	would still be cheaper to run than gaspowered cars even withtodays bottombarrel gas prices
375	19	375.13	a variety of factors affect a cars overall environmental impact
375	19	375.14	products overall environmental impact
397	75	397.1	NHTSA said it was particularly urgent for vehicles owners in Florida Puerto Rico Guam Saipan American Samoa the Virgin Islands and Hawaii to take immediate action
397	75	397.2	The National Highway Traffic Safety Administrations announcement on Monday that more than 47 million vehicles may be part of an urgent recall because of defective air bag
397	74	397.3	automotive US demands data on Takata air bags US safety regulators are ordering Japanese auto supplier Takata to provide more information about air bags that can explode and shoot shrapnel toward drivers and passengers
397	74	397.4	he order sent Thursday makes 36 requests for information on production mistakes lawsuit settlements and reports of deaths or injuries that the Tokyobased company has received
397	73	397.5	Meanwhile car manufacturers said people should continue to drive their vehicles
397	72	397.6	al regulators on Tuesday ordered airbag maker Takata to pay a cash fine of 70 million
397	71	397.7	The US governments auto safety agency responding to criticism of its slow response to safety issues told the manufacturer of millions of potentially faulty air bags to make replacement parts faster and do more testing to find the cause of the problem
397	70	397.8	We received Hondas response to our Special Order and will immediately begin reviewing the documents as part of our ongoing investigation into Hondas failure to report airbagrelated injuries and deaths in a timely manner said Kevin Vincent chief counsel at NHTSA
397	70	397.9	The senators want to know whether Takata engineers questioned the safety of using ammonium nitrate as a propellant in the airbag canisters They also asked for internal documents and communications that they believe could point to a coverup of the defects by Takata employees
397	69	397.10	Read more Takata fined 70 million for deadly air bags subjected to outside overseer
397	68	397.11	He said the problem appears to develop several years into a vehicles life so new air bags are likely to be safer But will they have problems in five to 10 years Youre asking the exact same question we are Friedman said
397	67	397.12	argest US auto recall was launched according to a congressional report cited during a hearing Tuesday
397	67	397.13	kers said they were worried about the possibility that many more Takata deaths and injuries have yet to be discovered
397	67	397.14	akata may have prioritized profit over safety by halting global safety audits for financial reasons
397	67	397.15	akatas North American executive vice president Kevin Kennedy disputed the reports findings saying that the internal emails were misconstrued and that routine audits of product safety and quality were never paused
397	66	397.16	e the carmakers added millions of vehicles to the recall this month it was estimated that 20 million Takataequipped cars were under recall orders
397	65	397.17	recall of this scope illustrates the potential for massive automaker expense and consumer inconvenience when a common massproduced part is defective Karl Brauer a senior analyst at Kelley Blue Book told The Washington Posts Drew Harwel
397	65	397.18	The company tried for decades to make them more stable  with unclear results as one lawyer for a man injured by an airbag in 2006 claimed
