text	id	answer	annotator	annotation_id	created_at	updated_at	lead_time
The United States has lots of statues for military heroes, but the nation is about to get its first national monument honoring four-legged soldiers. The U.S. Working Dogs Team National Monument will be shown for the first time in California in January, and it will honor every dog that has served in combat since World War II. The monument was the idea of John Burnam, a retired military dog handler who has written books about dogs he served with in the military. The bronze monument features four breeds of dogs, all used in war: Doberman, German shepherd, Labrador retriever and Belgian Malinois (pronounced mal-in-wa). The dogs surround a handler who stands nine feet tall and weighs 1,500 pounds. The dogs are each about five feet tall. A floral version of the monument will be a float in the Tournament of Roses Parade. The bronze statue will be displayed in California before going to its permanent home in Texas.	116	"[{""start"": 257, ""end"": 326, ""text"": ""it will honor every dog that has served in combat since World War II."", ""labels"": [""cause""]}, {""start"": 257, ""end"": 326, ""text"": ""it will honor every dog that has served in combat since World War II."", ""labels"": [""causal-query""]}]"	26	127	2023-03-20T09:19:05.267803Z	2023-03-20T09:19:05.267890Z	963.438
A dog named Dux, part of a law enforcement K-9 unit in Virginia, is recovering after being shot by a man who fled authorities following a traffic stop. Dux underwent surgery and is recovering, according to an online social media post from the Spotsylvania Sheriff's Office. Officials said Dux was “resting comfortably” after surgery. The man who authorities say shot the dog — Joseph Conway — was apprehended, they said, although they did not immediately release details as to where he was caught. Authorities said the incident started about 9:10 p.m. Sunday in Fredericksburg, when police stopped a vehicle for a traffic infraction. The driver was wanted on several felony warrants and was taken into custody without incident. But Conway, who was a passenger in the vehicle, got out. He then got into a “physical altercation” with one of the sheriff’s deputies before he fled on foot, authorities said. As he was being pursued by deputies and a K-9, authorities said, Conway “pulled a pistol from his clothing” and “fired several rounds” at the deputies and the dog. He struck the dog at least once, officials said. The dog was taken to a veterinary hospital. Sheriff’s deputies fired at Conway. None of the deputies were injured. It was not known whether Conway was struck in the gunfire exchange. Conway faces arrest warrants on several charges, including attempted capital murder of law enforcement and possession of a firearm by a felon.	115	"[{""start"": 6, ""end"": 150, ""text"": ""named Dux, part of a law enforcement K-9 unit in Virginia, is recovering after being shot by a man who fled authorities following a traffic stop"", ""labels"": [""cause""]}, {""start"": 334, ""end"": 392, ""text"": ""The man who authorities say shot the dog — Joseph Conway —"", ""labels"": [""cause""]}, {""start"": 904, ""end"": 1116, ""text"": ""As he was being pursued by deputies and a K-9, authorities said, Conway “pulled a pistol from his clothing” and “fired several rounds” at the deputies and the dog. He struck the dog at least once, officials said."", ""labels"": [""cause""]}]"	26	126	2023-03-20T09:15:52.015533Z	2023-03-20T09:15:52.015629Z	774.756
On May 4 2013, Marine Raider Cpl. David Sonka and his “multi-purpose canine,” a Belgian Malinois named Flex, were killed in Farah province, Afghanistan. Sonka was a few months into his second enlistment when an Afghan soldier turned his weapon on Sonka and his dog in an insider attack. Another Marine was also killed — Staff Sgt. Eric Christian. This coming Monday the Marine Corps will honor Sonka when Marine Corps Forces Special Operations Command (MARSOC) posthumously dedicates its multi-purpose canine kennel in his name aboard Marine Corps Base Camp Lejeune, N.C., according to a Friday news release. The Sept. 7 ceremony will also feature the unveiling of a full-size bronze statue of a multi-purpose canine, according to Marine spokesman Capt. Barry Morris. In attendance will be Sonka’s family as well as the commanding general of Marine Special Operations Command, Maj. Gen. Joseph Osterman. Sonka, a native of Aurora, Colo., started in the Marines as military policeman where he spent his first enlistment stationed at Marine Corps base 29 Palms, Calif., as a dog handler. During his initial tenure in the service he deployed once to Afghanistan, according to a biography provided by the Marine Corps. In 2012, Sonka tried out for Marine special operations where he successfully completed the Marine Special Operations Training Course and two phases of the Multi-Purpose Canine Course. He then deployed shortly after to Farah Province as a Multi-Purpose Canine Handler attached to 2nd Marine Special Operations Battalion. To Marine Sgt. Marc Galvis, a Marine who attended military police school with Sonka at Fort Leonard Wood. Mo., the future special operation Marine and multi-purpose canine handler always stood out to him as an overachiever. “He was always talking about being a K-9 handler,” Galvis said. “We had to write an essay about why we wanted to be one and Sonka’s just blew the instructors away.” Becoming a dog handler in the Marine Corps is extremely competitive Galvis explained, and where many struggled, Sonka excelled. Sonka was 23 when he was killed, and following his death his hometown named one their police department’s working dogs after Flex.  Sonka is the recipient of the Purple Heart, the Navy and Marine Corps Achievement medal, the Good Conduct Medal and a Combat Action Ribbon. While many military units operate with working dogs, the Marine Special Operations multi-purpose canines are unique in the sense that they are able to perform a number of different tasks as opposed to just having one defined role such as bomb sniffing. A multi-purpose canine attached to a Marine Special Operations Team can not only detect buried explosives but is also capable of tracking and pursuing the enemy as well as providing additional protection to the team the dog is assigned to. According to recent report published by the Marine Corps, the multi-purpose canines are transitioning to a more maritime role following the draw down in Afghanistan, with their handlers training with them on fast roping from helicopters and swimming. Flex isn’t the first multipurpose canine to die while operating with Marine special operation units. Multi-purpose canine Tosca along with his handler Sgt. Christopher Wrinkle died on July 31, 2011, when their barracks caught fire in Afghanistan.	114	"[{""start"": 3, ""end"": 285, ""text"": ""y 4 2013, Marine Raider Cpl. David Sonka and his “multi-purpose canine,” a Belgian Malinois named Flex, were killed in Farah province, Afghanistan. Sonka was a few months into his second enlistment when an Afghan soldier turned his weapon on Sonka and his dog in an insider attack"", ""labels"": [""cause""]}, {""start"": 3169, ""end"": 3314, ""text"": ""Multi-purpose canine Tosca along with his handler Sgt. Christopher Wrinkle died on July 31, 2011, when their barracks caught fire in Afghanistan."", ""labels"": [""cause""]}]"	26	125	2023-03-20T09:12:47.151524Z	2023-03-20T09:12:47.151626Z	732.551
Authorities in Spotsylvania County, Va., said Monday they are looking for a man who shot at sheriff deputies and a K-9. The dog, named Dux, was wounded. The incident started about 9:10 p.m. Sunday in Fredericksburg when police said they stopped a vehicle for a minor traffic infraction. The driver was wanted on several felony warrants and was taken into custody without incident. But the passenger in the vehicle — later identified as Joseph Conway, 34, of King George County — got out and got involved in a “physical altercation” with one of the deputies. Conway then fled on foot. As he was being pursued by sheriff deputies and a K-9, authorities said Conway “pulled a pistol from his clothing” and “fired several rounds” at the deputies and the dog. He struck the dog at least once, officials said. The dog was taken to an area veterinary hospital. Sheriff deputies fired at Conway. None of the deputies were injured. It was not known if Conway was struck in the gunfire exchange. Conway is believed armed and dangerous. Conway faces arrest warrants for several charges, including attempted capital murder of law enforcement and possession of a firearm by a convicted felon. Anyone with information is asked to call 911.	106	"[{""start"": 584, ""end"": 852, ""text"": ""As he was being pursued by sheriff deputies and a K-9, authorities said Conway “pulled a pistol from his clothing” and “fired several rounds” at the deputies and the dog. He struck the dog at least once, officials said. The dog was taken to an area veterinary hospital"", ""labels"": [""cause""]}, {""start"": 0, ""end"": 151, ""text"": ""rities in Spotsylvania County, Va., said Monday they are looking for a man who shot at sheriff deputies and a K-9. The dog, named Dux, was wounded"", ""labels"": [""cause""]}]"	26	117	2023-03-20T08:23:44.419865Z	2023-03-20T08:23:44.419964Z	103.228
In the annals of prisoner-of-war videos, this seems to be a first. A slightly befuddled-looking Belgian Malinois appears on a tight leash, surrounded by heavily armed, bearded men boasting of their battlefield loot. Wearing a black protective vest, the dog wags its tail at certain points and appears more confused than terrified as its captors showcase specialized rifles and a global positioning device with a blinking light that they say came attached to the canine. “Allah gave victory to the mujahideen!” one of the fighters exclaims. “Down with them, down with their spies!” A link to the video was posted this week on the Twitter account of a user who often disseminates Taliban propaganda. A Taliban spokesman, Zabiullah Mujahid, said the dog was captured after a long firefight between coalition forces and Taliban fighters in the Alin Nigar district of Afghanistan’s Laghman province in late December. “The mujahideen valorously put tough resistance against the troops for hours,” he said in a phone interview Thursday. The dog, he said, carries the rank of colonel and was outfitted with sophisticated electronic devices. “The dog was of high significance to the Americans,” he said. Lt. Col. Will Griffin, a spokesman for the international military coalition in Afghanistan, confirmed Thursday in an e-mail that the force lost a military working dog during an operation in December. He did not provide further details. Officials at the Pentagon said they could recall no prior instance of a military working dog being taken captive. The canine was attached to a British special forces unit that was engaged in a fatal firefight on Dec. 23, according to a military official who confirmed the nationality of the dog on the condition of anonymity because the British Defense Ministry has chosen not to do so. Also featured in the video are two M-4 assault rifles with scopes that are commonly used by special operations forces in Afghanistan. The video caught the attention of analysts at the SITE Intelligence Group, which tracks and studies insurgent propaganda. The group’s founder, Rita Katz, said she could not recall anything like it. “I don’t remember seeing a dog used as a hostage,” she said after checking her database. The only time canines were featured in insurgent propaganda, Katz said, was in Iraq when insurgents once proposed using them as unsuspecting suicide bombers. U.S. Special Operations troops often use the Belgian Malinois, a breed favored for its light weight, agility and endurance. They are trained to parachute and rappel with their handlers. Some are trained to sniff out explosives; others learn how to find narcotics. In Afghanistan, canines are often used to search compounds that might be rigged with explosives before humans move in. The use of dogs in combat missions has been one of the grievances Afghan President Hamid Karzai has raised with his foreign benefactors. Many Muslims hold a dim view of canines and worry that being around the animals makes them impure — thus unfit to pray. Few Afghans keep them as pets, although many groom the animals for dogfighting, a popular gambling sport that was banned by the Taliban but has become popular again. Military working dogs have been killed in bombings and shootings in Iraq and Afghanistan. “Maybe the dog was released to attack or search off-leash and the dog never returned,” said Kevin Dredden, a former Air Force dog handler and Afghanistan veteran who works as a program manager at AMK9, a firm that trains dogs to work with law enforcement and military units. “Maybe it was unsafe for them to go back and find him.” One thing is certain, Dredden said. “I know for sure the handler is devastated,” he said, noting the tight bonds that handlers and military dogs forge. Dogs are given ranks that make them senior to their handlers, a practice designed to ensure that the humans treat the animals with deference. They have a rank patch on their body armor. When President Obama visited Fort Campbell, Ky., to thank the elite troops who found and killed Osama bin Laden in Pakistan in 2011, the name of only one of the special operators was disclosed: Cairo, the team’s Belgian Malinois. Sayed Salahuddin in Kabul contributed to this report.	105	"[{""start"": 1134, ""end"": 1393, ""text"": ""The dog was of high significance to the Americans,” he said. Lt. Col. Will Griffin, a spokesman for the international military coalition in Afghanistan, confirmed Thursday in an e-mail that the force lost a military working dog during an operation in December"", ""labels"": [""cause""]}, {""start"": 67, ""end"": 469, ""text"": ""A slightly befuddled-looking Belgian Malinois appears on a tight leash, surrounded by heavily armed, bearded men boasting of their battlefield loot. Wearing a black protective vest, the dog wags its tail at certain points and appears more confused than terrified as its captors showcase specialized rifles and a global positioning device with a blinking light that they say came attached to the canine."", ""labels"": [""cause""]}, {""start"": 216, ""end"": 469, ""text"": ""Wearing a black protective vest, the dog wags its tail at certain points and appears more confused than terrified as its captors showcase specialized rifles and a global positioning device with a blinking light that they say came attached to the canine."", ""labels"": [""causal-query""]}, {""start"": 3203, ""end"": 3567, ""text"": ""Military working dogs have been killed in bombings and shootings in Iraq and Afghanistan. “Maybe the dog was released to attack or search off-leash and the dog never returned,” said Kevin Dredden, a former Air Force dog handler and Afghanistan veteran who works as a program manager at AMK9, a firm that trains dogs to work with law enforcement and military units."", ""labels"": [""cause""]}, {""start"": 3294, ""end"": 3566, ""text"": ""aybe the dog was released to attack or search off-leash and the dog never returned,” said Kevin Dredden, a former Air Force dog handler and Afghanistan veteran who works as a program manager at AMK9, a firm that trains dogs to work with law enforcement and military units"", ""labels"": [""causal-query""]}]"	26	116	2023-03-20T08:21:59.235031Z	2023-03-20T08:21:59.235129Z	750.96
Cairo has company. The Navy Seal-trained Belgian Malinois — part of the team that cornered and killed Osama bin Laden in 2011 — was perhaps the most famous frontline K-9 until Wednesday, when a 23-year-old Maryland man became the latest charged with hoisting himself over the White House fence. The suspect was brought down with the help of Hurricane and Jordan, two of the dogs in the Secret Service patrol of the presidental mansion. The dogs were treated by a veterinarian for minor bruising suffered in the tussle with the alleged jumper, identified as Dominic Adesanya. They will be back in service soon. “Both K-9s were cleared for duty by the veterinarian,” Secret Service spokesman Edwin Donovan wrote in an e-mail on Thursday. Few details have emerged of Hurricane and Jordan. But it’s clear they are — so to speak — a special breed. Secret Service dogs must pass rigorous training in specialites such as subduing assailants and detecting explosives. Like many security agencies and militaries, the Secret Service uses Belgian Malanois, a breed similar to German shepherds but smaller and more compact. An adult male weighs more than 60 pounds and can run in bursts twice as fast as the swiftest human. Its short hair makes it ideal for work in heat. The Secret Service, which began its K-9 program in 1975, puts the canine candidates through 20 weeks of training. After they are cleared for duty, they remain with their handler around the clock and undergoes at least eight hours a week of refresher training. “They become part of the family,” said a Secret Service Web site. Most Secret Service dogs work until they are about 10 years old. “When a canine is ready to retire,” the Secret Service site said, “it is retired to the handler.” Use of dogs in warfare and protection goes back to antiquity. Over the centuries, they have been used as messengers, bomb sniffers, trackers and scouts. The World War I exploits of “Sergeant Stubby,” described as a Boston bull terrier, include claims that he saved his regiment by sniffing out incoming mustard gas and helped capture a German soldier by latching onto his trousers. The “sergeant” became a mascot for Georgetown University. Navy Seal dogs may be baddest of the bunch. They are outfitted with Kevlar vests and learn how to strap on for parachute jumps with their handlers. And fallen K-9s merit full honors. Homeland Security bestowed an official commemoration for Maxo, a 3-year-old Malinois who fell to its death in 2013 from the sixth floor of a parking area in New Orleans while doing advance sweeps for a visit by Vice President Joe Biden.  	104	"[{""start"": 436, ""end"": 574, ""text"": ""The dogs were treated by a veterinarian for minor bruising suffered in the tussle with the alleged jumper, identified as Dominic Adesanya."", ""labels"": [""cause""]}, {""start"": 2372, ""end"": 2608, ""text"": ""Homeland Security bestowed an official commemoration for Maxo, a 3-year-old Malinois who fell to its death in 2013 from the sixth floor of a parking area in New Orleans while doing advance sweeps for a visit by Vice President Joe Biden."", ""labels"": [""cause""]}]"	26	115	2023-03-18T21:28:25.010563Z	2023-03-18T21:28:25.010646Z	1209.682
1) Sergeant Rex (Atria, $26) is Marine Mike Dowling’s account of his 2004 deployment with his military working dog, a German shepherd named Rex. Tasked with seeking out improvised explosive devices and hidden ammunition as part of a unit in Iraq’s Triangle of Death, Mike and Rex form a tight partnership. Briskly written with Damien Lewis, Dowling’s account has many suspenseful moments as well as interesting facts about how dogs are selected, trained, paired with a human and even ranked as service members. Dowling explains that “military working dogs are given a rank one higher than that of their handler.” If the handler receives a promotion, so, too, does his dog. While the jargon-heavy dialogue and tight pacing suggest that “Sergeant Rex” is meant to be a dog book for manly men, it’s also a moving portrait of a relationship between battle buddies that transcends gender and species. 2) Dogs jumping from airplanes, dogs sacrificing their lives to save their handlers, dogs patrolling dense tropical jungles — such heroics may seem the stuff of animation fantasy, but Lisa Rogak’s The Dogs of War (Thomas Dunne/St. Martin’s; paperback, $14.99) documents the real-life valor of canine warriors. Rogak is to be commended for the book’s encyclopedic scope and rich historical detail. Did you know that during World War II, Hollywood stars such as Mary Pickford donated their pets to Dogs for Defense — later the K-9 Corps — for use as sentries and to guard the coasts against spy infiltration? Particularly engrossing are the thumbnail portraits of war dogs such as Bodo, an explosive-detection German shepherd partnered with Spec. Joaquin Mello in Iraq. During a routine route-clearing mission, Mello recalls, his dog started ignoring his lead, and “all of a sudden Bodo jerked sharply behind me, and him jerking the leash jerked my head up. I heard a whiz and a loud ping like metal hitting rock. . . . Someone just shot at me. If Bodo hadn’t pulled me back, it would have hit me right in the head. . . . I started thinking about it: ‘Wow, my dog just saved my life.’ ” 3) “The wind sulked around Hampton Lane Cemetery like a child lamenting the loss of a favorite toy.” So begins the purplish prologue to Gareth Crocker’s Finding Jack (St. Martin’s Griffin; paperback, $14.99), an enjoyable, if flawed, novel. At the book’s beginning in 1972, 29-year-old journalist Fletcher Carson stops to visit the graves of his wife and young daughter, who were killed in a plane crash. He has enlisted in the Army and is headed to Vietnam, quite possibly on a grief-propelled suicide mission. There, he finds an abandoned scout dog, a Labrador he names Jack, whom his unit adopts as its unofficial mascot. Part pal, part doggie Rambo, Jack works his way so deep into Carson’s heart that when the cease-fire comes and the unit gets word that military dogs are to be left behind, Carson takes off with Jack on a journey out of Vietnam, across Laos and into Thailand, where he plans to smuggle the dog home. Gory infections, privation and an incredible rescue (both military and paranormal) ensue. Short on plausibility but long on butch sentimentality, “Finding Jack” elicits sighs of both frustration and fantasy fulfillment. Burana is the author of “I Love a Man in Uniform.”	102	"[{""start"": 899, ""end"": 1019, ""text"": ""Dogs jumping from airplanes, dogs sacrificing their lives to save their handlers, dogs patrolling dense tropical jungles"", ""labels"": [""cause""]}, {""start"": 899, ""end"": 1019, ""text"": ""Dogs jumping from airplanes, dogs sacrificing their lives to save their handlers, dogs patrolling dense tropical jungles"", ""labels"": [""causal-query""]}]"	26	113	2023-03-18T21:06:55.938547Z	2023-03-18T21:06:55.938633Z	203.379
A police dog in Washington state died this week after ingesting meth while working with authorities who were serving a narcotics search warrant, according to reports. The dog, named Barney, ingested the drug “through contact with his nose,” Tacoma Police Department public information officer Loretta Cool wrote in an e-mail to The Post on Friday. Barney was taken away from the scene and later rushed to a veterinary hospital. The dog’s behavior had changed and his temperature spiked, Cool wrote. Here’s what happened, according to the News Tribune: Narcotics dogs are trained to alert their handlers to drugs by placing their nose on them. In this case, Barney accidentally inhaled residue from the substance. He suffered seizures, and his body temperature soared to 109 degrees. Barney — who had worked with the department for five years — died Wednesday night, according to the Facebook post from the department, which noted that the dog was “highly respected throughout the law enforcement community.” “Barney will be remembered as a dedicated member of our department who, without a doubt, made Tacoma safer by virtue of his work and his service,” Chief Donald Ramsdell said in the post. “Barney died in the line of duty and will be honored as such.” A department memorial service is being planned, said Cool, who called Barney “a wonderful dog” who was “always full of energy and ready.” “He’s a phenomenal dog,” his handler, Officer Henry Betts, told KING 5 News. “Really just incredible.” According to the News Tribune, the search that the 11-year-old Labrador mix was involved in resulted in three arrests. “After working with the Tacoma Police Department over the past few days, it was clear how much the Officers loved and respected Barney,” Kobi Johnson, a senior clinician with the veterinary hospital that cared for the dog, said in the Facebook post. “We join them in mourning the loss of their comrade and offer condolences.” Read More: With fake service dogs on the rise, Canada proposes doggie ‘driving license’ A missing Ohio police dog who survived one of the coldest winters in history has been found California police dog becomes a police detective	101	"[{""start"": 0, ""end"": 238, ""text"": ""A police dog in Washington state died this week after ingesting meth while working with authorities who were serving a narcotics search warrant, according to reports. The dog, named Barney, ingested the drug “through contact with his nose"", ""labels"": [""cause""]}, {""start"": 552, ""end"": 865, ""text"": ""Narcotics dogs are trained to alert their handlers to drugs by placing their nose on them. In this case, Barney accidentally inhaled residue from the substance. He suffered seizures, and his body temperature soared to 109 degrees. Barney — who had worked with the department for five years — died Wednesday night,"", ""labels"": [""cause""]}, {""start"": 552, ""end"": 642, ""text"": ""Narcotics dogs are trained to alert their handlers to drugs by placing their nose on them."", ""labels"": [""causal-query""]}]"	26	112	2023-03-18T21:03:29.990933Z	2023-03-18T21:03:29.991055Z	147.275
‘The canine’s nose is a masterful creation,” Rebecca Frankel writes in this exceptionally interesting and surprisingly moving book; “all earthly schnozes are not created equal, anatomically speaking. While the average dog has roughly 220 million scent receptors in his nasal cavity, the average human has around 5 million.” Reading that, I flushed with pride on behalf of my rescue pooch, Clifford, whom I take on business trips several times a day but whose business consists more of sniffing (his name really should be Snifford) than of pooping. Then, a few pages later, came this zinger: “Where some breeds, like dachshunds, have 125 million scent receptors, and German shepherds have 225 million receptors, the bloodhound has on average 300 million.” Alas, poor Clifford: He is a dachshund, and based on those numbers he’ll never qualify as an MWD, or military working dog. Truth to tell, this is for the best, as Clifford is far too goofy to be a fierce combatant. No doubt, though, he would love to meet any and all of the splendid dogs — German shepherds, bloodhounds, Belgian Malinois, labradors — who parade proudly through these pages, though any of them could have him for lunch if they so desired. But in fact military dogs are trained not to be fierce but to be intelligent, to use their incredibly sensitive ears and eyes to identify danger in its many forms and to give their human colleagues the chance to quell it. Frankel is an editor at Foreign Policy and is responsible for two of that eminent journal’s most popular items: a weekly column called “Rebecca’s War Dog of the Week” and a photo essay called “War Dog,” which has been viewed online more than 16 million times. This book is a logical extension of those interests, but as she says in her opening chapter, “I thought I would be writing a book about dogs who live their lives in the service of the military . . . [but] I was surprised when I realized I was actually writing a book about people,” in particular the handlers, men and women, who train military working dogs and then accompany them into battle or wherever else they may be called to serve. On the evidence Frankel provides, it’s hard not to conclude that handlers are special people. They are soldiers through and through — “Despite the many likely hazards waiting for them in a war-zone, most of these handlers are excited to get downrange. . . . If they’ve been to Iraq, they’re looking forward to a tour in Afghanistan” — but they are “their own breed.” The form of service known as K-9 “is a lifelong state of mind . . . the mark of which lives on long past the dogs, long after the wars are over.” Frankel writes: “Any handler who has brought a dog with him or her to war will say it made all the difference in the world. They will say that the dog by their side provided them with something more than just a living, breathing piece of home — it acted as a talisman, insulating them from whatever horrors unfolded, bringing them peace in turbulence, offering companionship in times of loneliness. It made the path through war bearable, the unendurable somehow endurable, and many will say they came through the other side more stable.” Anticipating objections, Frankel writes at the outset: “I avoid the question of whether or not it is ethical to involve animals in fighting our wars. There are legitimate cases to be made on both sides, but we do employ animals in war and we rely on them heavily.” Read almost any history of the Civil War or World War I and you will be impressed, or more likely depressed, by the number of mules and horses that were killed serving in those conflicts, a number that probably runs into the millions. Horses and mules were used as beasts of burden, whereas dogs are used for their intelligence (the breeds most commonly enlisted are among the very smartest) and their gifts of detection. Inasmuch as countless dogs are abused by their owners, euthanized in shelters or otherwise mistreated, one can only be struck by the kindness with which the MWDs are treated and the love they inspire. For me it’s a no-brainer: If military dogs serve us, by the same token we serve them. Indeed, it is worth noting that in their earliest known appearances in battle, “it was not their inborn supersenses or their natural intelligence that was put to task, but rather something more primitive, fierce, and undisciplined,” and doubtless “these early war dogs took more lives than they saved.” That began to change in World War I, when “all tallied — including messenger dogs, mercy dogs, Red and Blue Cross dogs — upward of 75,000 dogs were on the ground in official war-related roles.” Then, in World War II, the American military “settled on five breeds: German shepherds, Belgian sheep dogs, Doberman pinschers, farm collies, and giant schnauzers” as having the temperament and skills needed in war dogs. The best of them became scout dogs, Frankel says, which had “nearly instantaneous” effectiveness because of their ability to detect enemy troops at a distance of about 1,000 yards. In Vietnam, then in Iraq and Afghanistan, the employment of dogs reached new levels of sophistication. They were primarily scout dogs in Vietnam, where their success was so great that the demand exceeded the supply of available dogs. Then, in our last two wars, they became expert at detecting the improvised explosive devices that terrorists use as lethally effective weapons against troops (and innocent civilians as well) on the ground. They are trained at the Yuma Proving Ground in Arizona under a program known as Inter-Service Skills K-9. Frankel spent several arduous days there, observing the dogs and their handlers, and participating in some of the exercises herself, an experience that left her with a heightened appreciation for the skills and dedication of all concerned. Though her book is principally about MWDs, she reminds us that dogs serve us in other places and in other ways: working for the Department of Homeland Security, which now has “over 900 canine teams working in 120 airports nationwide”; as therapy dogs, especially for victims of post-traumatic stress disorders, soldiers and civilians alike; and as guide dogs, a role that of course they have performed for many generations for the blind and other disabled persons. In all these roles, they are as susceptible to injury and emotional stress as the people they aid. “It would be counterintuitive, even foolhardy, to assume that dogs can experience war but are somehow immune to its hardships, that they do not shoulder its burdens,” Frankel writes. “Dogs experience the same heat, the same chaos, the same injuries, the same violence, and the same trauma. . . . Military working dogs, like soldiers, return from war changed.” Now, with the war in Afghanistan winding down (or whatever exactly is happening there), Frankel is concerned about the future of the MWD program, as well she should be. The “urgent need for dogs is already depleting and will likely continue to lessen over time,” and “the military working dog program is already downsizing its combat-ready dogs accordingly.” Yet “when the call for the dogs comes again — as it inevitably will — years and energy [will be] spent rebuilding and reinventing.” It would be nice to think that this fine book will cause the military to keep the MWD program active, if necessarily smaller, and to continue research into the ways in which dogs can help us, but history — the history of the American military especially — leaves little reason to believe that will happen. WAR DOGS Tales of Canine Heroism, History, and Love By Rebecca Frankel Palgrave Macmillan. 251 pp. $26	100	"[{""start"": 6406, ""end"": 6698, ""text"": ""It would be counterintuitive, even foolhardy, to assume that dogs can experience war but are somehow immune to its hardships, that they do not shoulder its burdens,” Frankel writes. “Dogs experience the same heat, the same chaos, the same injuries, the same violence, and the same trauma. . ."", ""labels"": [""cause""]}]"	26	111	2023-03-18T21:00:59.753720Z	2023-03-18T21:00:59.753825Z	481.481
At the beginning of “War Dogs ,” Rebecca Frankel presents us with an uncomfortable truth: “There is something less complicated (and ironically more human) about relating to war through the story of a dog.” By the end of her heart-warming and heart-wrenching book, you’ll know what she means — if you don’t already. As almost any dog owner will tell you, canines are remarkable animals. What makes them especially valuable on the battlefield is their sophisticated sense of smell, which, according to Frankel, is a thousand times sharper than that of humans. This superpower, along with their loyalty, desire for rewards and, well, doggedness, has prompted the modern U.S. armed forces to use dogs to find bombs and improvised explosive devices. Frankel spends a lot of time introducing us to the dogs doing this dangerous work and their handlers. Her narrative takes us from stateside training kennels to war zones in Iraq and Afghanistan, as well as through time. Frankel says it’s unclear how long dogs have been used in wartime. The United States, she says, “has been woefully behind” in employing military dogs, with no official authorization until the creation of the Dogs for Defense program in 1942 during World War II. More than 20,000 pets were given to the military by their owners. Dogs proved crucial during the Vietnam War, too, with scout dogs saving an estimated 2,000 lives within the first year of their arrival. Shockingly, of the 5,000 dogs who served there from 1964 to 1975, only 204 ever left. Frankel, a senior editor at Foreign Policy, began writing about war dogs in 2010 for one of the publication’s blogs. In researching the book, she has stepped further into this world: donning a bite suit that doesn’t fully insulate her from the pain inflicted by a Dutch shepherd named Rambo, participating in the same brutal eight-mile “ruck march” as dogs and handlers in training, and accepting failure as a handler looking for a hypothetical bomb when she gets entangled in a leash. Frankel unequivocally expresses her belief in the necessity of war dogs but steers clear of the ethical questions of involving animals in “our wars.” She explores the debates over whether dogs actually love us and whether it’s appropriate for their handlers to get attached to them. Readers will surely find themselves attached to the four- and two-legged characters they meet. And, no, not all the dogs or people make it home alive. It’s enough to make you want to grab a box of tissues — and the nearest dog. Man’s best friend, indeed. Becky Krystal is a member of The Washington Post’s Food and Going Out Guide staffs. WAR DOGS Tales of Canine Heroism, History, and Love By Rebecca Frankel Palgrave Macmillan. 251 pp. $26	99	"[{""start"": 2380, ""end"": 2435, ""text"": ""And, no, not all the dogs or people make it home alive."", ""labels"": [""cause""]}, {""start"": 2380, ""end"": 2435, ""text"": ""And, no, not all the dogs or people make it home alive."", ""labels"": [""causal-query""]}]"	26	110	2023-03-18T20:52:47.188734Z	2023-03-18T20:52:47.188815Z	193.812
